pm25,pm10,no2,o3,so2,co,temp,rhum,wspd,pres,coco,pm25_AQI,pm10_AQI,no2_AQI,o3_AQI,so2_AQI,overall_AQI
60.492382,104.793,25.863157,33.519444,13.256429,1033.8187,26.2,76.0,5.5,1008.0,2.0,5.0,5.0,1.0,1.0,1.0,5.0
54.2275,104.256836,22.343533,34.873695,11.512105,1048.9333,26.9,62.0,9.4,1008.4,2.0,5.0,5.0,1.0,1.0,1.0,5.0
50.654106,98.87507,20.9623,38.053333,18.794933,833.6702,26.7,75.0,9.3,1008.5,2.0,1.0,4.0,1.0,1.0,1.0,4.0
52.391953,93.94147,18.934744,48.3925,35.764053,837.80255,27.6,72.0,9.3,1009.1,2.0,5.0,4.0,1.0,1.0,1.0,5.0
49.538395,86.05736,17.726974,44.980366,14.115455,735.57654,28.1,68.0,7.6,1009.7,4.0,4.0,4.0,1.0,1.0,1.0,4.0
32.294666,62.510384,16.847012,45.835835,11.511319,643.14813,30.1,61.0,7.4,1009.5,3.0,4.0,4.0,1.0,1.0,1.0,4.0
28.041897,66.3614,16.268393,47.44911,14.843478,706.5111,32.0,55.0,9.3,1009.2,3.0,4.0,4.0,1.0,1.0,1.0,4.0
32.580067,87.013176,16.285902,49.874237,13.991297,746.8116,35.7,41.0,5.4,1008.4,3.0,4.0,4.0,1.0,1.0,1.0,4.0
39.23747,90.278114,18.630642,42.00846,31.372879,800.26666,34.8,48.0,9.3,1008.1,2.0,4.0,4.0,1.0,1.0,1.0,4.0
42.35425,92.49,19.10025,48.125,13.41,957.0,35.6,47.0,9.3,1007.2,2.0,4.0,4.0,1.0,1.0,1.0,4.0
41.61092,98.50367,20.03131,51.707222,15.986812,924.67694,38.3,35.0,7.6,1005.9,2.0,4.0,4.0,1.0,2.0,1.0,4.0
40.7673,97.31247,17.336071,67.90302,15.602609,834.62964,37.6,39.0,7.4,1005.5,2.0,4.0,4.0,1.0,2.0,1.0,4.0
41.492016,99.93072,16.55787,76.593445,10.584286,959.0741,37.3,41.0,7.4,1004.8,2.0,4.0,4.0,1.0,2.0,1.0,4.0
34.085926,78.69264,13.121543,87.28846,12.151527,644.8148,37.3,36.0,5.4,1003.6,2.0,4.0,4.0,1.0,2.0,1.0,4.0
31.699411,73.43513,13.993529,79.488335,10.227693,895.7843,35.6,47.0,7.4,1004.5,2.0,4.0,4.0,1.0,2.0,1.0,4.0
